Name,Nationality,Years,Link
"Zirker, Joseph",American, born 1924,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=3466
"Zito, Emilio",American, active c. 1935,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=8236
"Zittoz, Miguel",Netherlandish, c. 1469 - 1525/1526,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1878
Zoan Andrea,Italian, active c. 1475/1519,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=2902
"Zocchi, Giuseppe",Italian, 1711 - 1767,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=3467
"Zoellner, Richard Charles",American, 1908 - 2003,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=34158
"Zoffany, Johann",British, 1733 - 1810,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1988
"Zoffany, John",British, 1733 - 1810,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1988
"Zogbaum, Wilfred M.",American, 1915 - 1965,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=34159
"Zompini, Gaetano",Italian, 1700 - 1778,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=9988
"Zoppo, Marco",Italian, 1433 - 1478,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1989
"Zorach, Marguerite",American, 1887 - 1968,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1990
"Zorach, William",American, 1887 - 1966,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=2299
"Zorio, Gilberto",Italian, born 1944,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=31202
"Zorn, Anders",Swedish, 1860 - 1920,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1991
"Zorn, Anders Leonard",Swedish, 1860 - 1920,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=1991
"Zorner, Rudolf",Czech, born 1941,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=24832
Zorzo da Castelfranco,Italian, 1477/1478 - 1510,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=1341
"Zox, Larry",American, 1937 - 2006,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=6731
Zsissly,American, 1897 - 1983,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=6496
"Zuccarelli, Francesco",Italian, 1702 - 1788,https://web.archive.org/web/20121010201041/http://www.nga.gov/cgi-bin/tsearch?artistid=6350
